ID,Number,Latitude,Longitude,Destination,Validity
1075,01,52.266818,21.030033,rondo Starzyńskiego,2020-10-12 00:00:00.0
1075,02,52.266785,21.031266,rondo Żaba,2020-10-12 00:00:00.0
1075,03,52.266893,21.030808,rondo Starzyńskiego,2020-10-12 00:00:00.0
1075,04,52.267001,21.031325,rondo Żaba,2020-10-12 00:00:00.0
1076,01,52.266563,21.037797,Bródnowska,2020-10-12 00:00:00.0
1076,02,52.267046,21.038547,Kamienna,2020-10-12 00:00:00.0
1077,01,52.269314,21.038485,11 Listopada,2020-10-12 00:00:00.0
1077,02,52.269214,21.038952,Rogowska,2020-10-12 00:00:00.0
1077,03,52.269172,21.036939,Bródnowska,2020-10-12 00:00:00.0
1077,04,52.269483,21.036630,Staniewicka,2020-10-12 00:00:00.0
1077,05,52.269301,21.036352,Starzyńskiego,2020-10-12 00:00:00.0
1077,06,52.269523,21.036813,Staniewicka,2020-10-12 00:00:00.0
1077,07,52.269139,21.036872,Namysłowska,2020-10-12 00:00:00.0
1077,58,52.268370,21.038483,null,2020-10-12 00:00:00.0
1077,59,52.268611,21.038102,null,2020-10-12 00:00:00.0
1078,01,52.272703,21.032576,rondo Żaba,2020-10-12 00:00:00.0
1078,02,52.273903,21.031967,Pożarowa,2020-10-12 00:00:00.0
1078,03,52.273599,21.031907,rondo Żaba,2020-10-12 00:00:00.0
1078,04,52.273952,21.031614,Pożarowa,2020-10-12 00:00:00.0
1079,01,52.277687,21.027848,Staniewicka,2020-10-12 00:00:00.0
1079,02,52.279006,21.027433,Budowlana,2020-10-12 00:00:00.0
1079,03,52.278600,21.027361,Staniewicka,2020-10-12 00:00:00.0
1079,04,52.278037,21.027846,Budowlana,2020-10-12 00:00:00.0
1079,05,52.277975,21.026430,PKP Praga,2020-10-12 00:00:00.0
1080,01,52.280213,21.025979,Pożarowa,2020-10-12 00:00:00.0
1080,02,52.281617,21.025505,Bartnicza,2020-10-12 00:00:00.0
1080,03,52.281021,21.026648,Pożarowa,2020-10-12 00:00:00.0
1080,04,52.281143,21.027270,Julianowska,2020-10-12 00:00:00.0
1080,06,52.281132,21.026747,Rembielińska,2020-10-12 00:00:00.0
1081,01,52.282803,21.033107,Odrowąża,2020-10-12 00:00:00.0
1081,02,52.283525,21.034186,Bartnicza,2020-10-12 00:00:00.0
1082,00,52.284307,21.033294,null,2020-10-12 00:00:00.0
1082,01,52.284879,21.032915,Budowlana,2020-10-12 00:00:00.0
1082,02,52.285142,21.032797,Bartnicza,2020-10-12 00:00:00.0
1082,53,52.284233,21.033534,null,2020-10-12 00:00:00.0
1082,54,52.285740,21.032591,null,2020-10-12 00:00:00.0
1083,01,52.288112,21.029675,Wysockiego,2020-10-12 00:00:00.0
